Price,Close,High,Low,Open,Volume
Ticker,QAN.AX,QAN.AX,QAN.AX,QAN.AX,QAN.AX
Date,,,,,
2020-10-26,4.579999923706055,4.650000095367432,4.570000171661377,4.579999923706055,10917677
2020-10-27,4.5,4.579999923706055,4.449999809265137,4.579999923706055,11375615
2020-10-28,4.429999828338623,4.5,4.380000114440918,4.5,10555172
2020-10-29,4.349999904632568,4.360000133514404,4.260000228881836,4.300000190734863,18951535
2020-10-30,4.190000057220459,4.420000076293945,4.179999828338623,4.389999866485596,14326575
2020-11-02,4.309999942779541,4.340000152587891,4.230000019073486,4.239999771118164,8260756
2020-11-03,4.46999979019165,4.480000019073486,4.329999923706055,4.340000152587891,9454771
2020-11-04,4.570000171661377,4.639999866485596,4.480000019073486,4.480000019073486,13507509
2020-11-05,4.559999942779541,4.639999866485596,4.53000020980835,4.619999885559082,12417918
2020-11-06,4.550000190734863,4.619999885559082,4.480000019073486,4.599999904632568,6830995
2020-11-09,4.679999828338623,4.679999828338623,4.53000020980835,4.570000171661377,9611049
2020-11-10,5.070000171661377,5.309999942779541,5.050000190734863,5.199999809265137,36385813
2020-11-11,5.139999866485596,5.170000076293945,5.079999923706055,5.099999904632568,13967620
2020-11-12,5.070000171661377,5.139999866485596,5.039999961853027,5.139999866485596,11668280
2020-11-13,5.110000133514404,5.130000114440918,4.940000057220459,5.010000228881836,15705499
2020-11-16,5.190000057220459,5.199999809265137,5.150000095367432,5.170000076293945,574197
2020-11-17,5.269999980926514,5.304999828338623,5.210000038146973,5.260000228881836,18673475
2020-11-18,5.210000038146973,5.289999961853027,5.199999809265137,5.269999980926514,8104372
2020-11-19,5.25,5.269999980926514,5.199999809265137,5.21999979019165,5587292
2020-11-20,5.269999980926514,5.320000171661377,5.210000038146973,5.239999771118164,9153374
2020-11-23,5.360000133514404,5.429999828338623,5.320000171661377,5.320000171661377,9391995
2020-11-24,5.570000171661377,5.619999885559082,5.46999979019165,5.46999979019165,12193863
2020-11-25,5.659999847412109,5.789999961853027,5.659999847412109,5.730000019073486,21216541
2020-11-26,5.53000020980835,5.690000057220459,5.5,5.690000057220459,9168732
2020-11-27,5.519999980926514,5.539999961853027,5.420000076293945,5.53000020980835,7099420
2020-11-30,5.380000114440918,5.610000133514404,5.355000019073486,5.599999904632568,19127330
2020-12-01,5.46999979019165,5.519999980926514,5.289999961853027,5.369999885559082,14393948
2020-12-02,5.550000190734863,5.559999942779541,5.420000076293945,5.5,11803559
2020-12-03,5.489999771118164,5.579999923706055,5.46999979019165,5.570000171661377,9406290
2020-12-04,5.269999980926514,5.480000019073486,5.269999980926514,5.46999979019165,18484301
2020-12-07,5.489999771118164,5.489999771118164,5.329999923706055,5.340000152587891,12344745
2020-12-08,5.400000095367432,5.46999979019165,5.380000114440918,5.46999979019165,7637177
2020-12-09,5.360000133514404,5.429999828338623,5.349999904632568,5.400000095367432,5050437
2020-12-10,5.159999847412109,5.329999923706055,5.150000095367432,5.320000171661377,19380880
2020-12-11,5.099999904632568,5.159999847412109,5.059999942779541,5.150000095367432,9746818
2020-12-14,5.070000171661377,5.119999885559082,5.005000114440918,5.099999904632568,12419806
2020-12-15,5.050000190734863,5.070000171661377,5.0,5.050000190734863,6197095
2020-12-16,5.090000152587891,5.164999961853027,5.079999923706055,5.079999923706055,7215196
2020-12-17,5.099999904632568,5.099999904632568,4.980000019073486,5.070000171661377,10290818
2020-12-18,4.920000076293945,4.980000019073486,4.78000020980835,4.980000019073486,22919843
2020-12-21,4.889999866485596,4.920000076293945,4.610000133514404,4.71999979019165,11515586
2020-12-22,4.800000190734863,4.860000133514404,4.78000020980835,4.829999923706055,12150719
2020-12-23,4.909999847412109,4.949999809265137,4.800000190734863,4.800000190734863,6895232
2020-12-24,4.889999866485596,5.03000020980835,4.889999866485596,5.03000020980835,3588668
2020-12-29,4.960000038146973,5.010000228881836,4.940000057220459,4.949999809265137,4330876
2020-12-30,4.960000038146973,4.980000019073486,4.909999847412109,4.949999809265137,4010174
